"","ID","Mother_Age","Sex_C","Child_Age","Education_Years_1","Income","Home_2","Home_3","Raven","mean_RT","RT.diff.DD","RT.diff.PES"
"95",295,32.5835623748321,"Male",4.39191281973281,23,4,5,2,29,606.012658227848,-5.60668756530822,99.4426472770441
"96",296,32.8282513562502,"Male",4.29163260197227,16,3,3,1,11,902.525252525253,79.2447368421052,345.213088235294
"97",297,31.2577570854564,"Female",4.58835256800264,16,2,6,2,17,506.498360655738,66.9061284046693,15.1428571428571
"98",298,34.3765454280427,"Female",4.70098074631784,17,4,5,2,22,620.585284280936,60.6329633740289,41.3252977878616
"99",299,40.889809459528,"Female",4.6789949489188,23,4,7,2,16,633.333333333333,-41.1012291552494,190.026471612679
"100",401,31.6060864577788,"Female",4.1098510026111,17,3,4,1,15,813.25974025974,-26.216935483871,194.433562166285
"101",402,32.9351430717165,"Female",4.55458181230512,18,5,6,1,21,758.772575250836,180.32815853484,188.314318134929
"102",403,43.3796858759855,"Male",4.47208834005121,17,2,5,1,22,741.524590163934,19.2080060631115,147.347576211894
"103",404,42.5115471391994,"Male",4.83872030826172,16,1,4,1,18,774.362595419847,18.7075471698113,218.441012658228
"104",405,42.1582425786498,"Male",4.37590171622684,18,4,5,2,21,504.813504823151,82.5136186770428,117.692501802451
"105",406,33.6828306651963,"Female",4.42889500468984,16,5,9,2,23,658.985347985348,55.4689075630253,76.0786111111111
"106",407,34.4106284064694,"Female",4.81993709914569,18,4,4,1,21,658.755852842809,94.3006973500698,143.813282247765
"107",408,36.2111228990798,"Female",5.80728990797779,19,3,5,2,21,542.448979591837,19.1634259259259,128.493514328808
"108",409,42.3932555073897,"Female",5.29811519253682,12,3,4,2,16,594.494505494505,-37.9157409150819,65.8353397750674
"109",411,39.6149392539357,"Male",4.37058607118412,19,4,5,2,25,471.996323529412,-23.031188076161,-26.5772727272727
"110",412,38.3716138743124,"Male",4.85210668745405,20,4,5,2,13,681.48064516129,38.257667824074,31.6086206896551
"111",413,38.2214182637463,"Female",4.40622319187771,19,4,6,2,20,545.954692556634,90.5782135076253,47.5366552119129
"112",414,41.0108048457424,"Female",4.46871038989023,23,4,6,2,21,579.331168831169,22.9920634920635,209.526132404181
"113",415,43.0733815309149,"Female",4.72430555555556,18,3,6,2,27,492.063694267516,87.3250269396551,42.9018779342723
"114",416,40.6421321329886,"Male",4.91044151012751,11,2,3,1,21,652.902280130293,25.7392572566876,232.928305631357
"115",417,39.2583130529571,"Male",4.62997629731032,20,4,5,2,26,606.656957928803,37.8182708632623,101.554271815141
"116",418,36.1810848733744,"Male",4.44118069815195,17,3,5,2,14,673.184501845018,56.6223188405796,158.997348021216
"117",419,31.7979513017466,"Female",4.26064808477197,14,3,6,2,9,614.329317269076,28.1292749658003,134.827411167513
"118",420,33.238711403909,"Male",4.66102488782417,21,4,4,2,22,621.331147540984,-4.07692307692309,139.060984224158
"119",421,42.8946014272315,"Male",4.92882456207063,18,2,4,1,16,567.231543624161,3.0829031051253,94.9558704453441
"120",422,29.5427296435724,"Female",4.37914305904124,18,4,3,2,22,669.095709570957,19.4545663499847,159.859551975837
"121",423,38.9899701498213,"Male",4.88456289451669,12,1,4,1,8,722.665505226481,-1.41281195358454,220.719512195122
"122",424,43.972765577864,"Male",4.52581143686465,16,2,3,1,21,807.712727272727,38.2597456743798,320.989688788901
"123",425,36.8951672180394,"Male",4.97730274165336,17,4,4,2,20,651.992753623188,29.5391304347826,79.2305555555556
"124",426,37.9303743630694,"Male",4.46562419195376,15,2,7,1,21,908.574829931973,108.683796296296,212.832661027977
"125",427,32.7529102339848,"Female",4.4763873044845,16,4,5,2,26,514.105431309904,28.3261587301587,71.5523483365949
"126",428,36.9626151861992,"Male",4.77644133267422,18,2,4,2,21,617.187898089172,18.9530875396877,61.9304761904763
"127",429,38.0874156146222,"Female",4.40089952974878,14,5,5,1,20,607.137931034483,12.6838137472284,109.650057055915
"128",430,28.4524149174842,"Male",4.65227802494486,18,2,3,1,21,726.503311258278,92.4183154324478,126.066118935837
"129",431,41.4934219332269,"Female",4.92668682029052,15,2,4,1,6,758.056818181818,33.2428571428571,2.02232142857144
"130",432,39.5131684602124,"Female",4.51248399751565,15,3,4,1,7,939.292929292929,-5.64559154685605,22.0655462184874
"131",433,36.8823290110782,"Female",5.38609355591046,17,1,5,0,19,553.222950819672,55.2910992217899,116.201215541567
"132",434,43.1513255127133,"Male",4.58322147438335,18,3,6,2,25,910.212328767123,-14.9223830653962,243.254232209738
"133",435,28.9556150340964,"Female",4.12057054402109,18,4,4,2,21,797.231884057971,53.4364035087719,124.513559322034
"134",436,34.9002281225442,"Female",4.42794886176389,14,2,4,1,11,667.472491909385,36.3118466898954,62.2869014084507
"135",437,36.2424382082288,"Female",5.36769488174006,18,3,5,2,25,587.246105919003,-5.34977111943408,190.886182108626
"136",438,42.0380074213502,"Female",4.01199783887241,17,3,5,2,12,814.315436241611,85.3697623514697,190.1136996337
"137",439,33.183244448247,"Male",3.79241624838391,20,3,5,1,21,774.848780487805,-12.633309248555,269.638636363636
"138",440,40.0064701688341,"Male",4.11872205110655,15,3,6,2,14,606.578947368421,44.9735023041475,25.6547619047619
"139",441,42.7116886265115,"Female",4.74043605977641,17,3,3,2,8,605.377419354839,25.7782258064516,179.273786153645
"140",442,28.6442899016402,"Female",4.40883473394682,15,2,3,1,8,896.057142857143,-59.1072299583038,99.3961693548387
"141",443,43.7468955180369,"Female",4.19316519633939,22,3,7,2,22,539.364217252396,5.5800671892498,79.3494220556076
"142",444,37.1842217722514,"Male",5.19791102618704,16,2,4,0,24,606.737012987013,38.6569169960475,75.8219780219781
"143",445,32.9041363411666,"Female",4.17586803178949,20,3,5,1,19,737.21974522293,-50.6230620155038,247.381428571429
"144",446,33.7648844335437,"Male",4.19883378330418,16,3,3,0,23,671.669117647059,42.8610102344007,321.762140230759
"145",447,35.1759929462317,"Female",4.32315242604,23,4,5,2,26,530.871428571429,44.1041666666666,39.0996078431373
